Membrane name;Mixture;Temperature.оС;Composition (component 1). weight;Partial flux сomponent 1. kg/m2*h;Partial flux сomponent 2. kg/m2*h;Permeance сomponent 1. Optional. kg/m2*h*kPa;Permeance сomponent 2. Optional. kg/m2*h*kPa;Comment
PAI:SPI (1wt%) asymmetric;meoh_mtbe;70;0.15000;7.020;0.14554;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;70;0.14000;6.824;0.14747;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;70;0.13000;6.612;0.14948;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;70;0.12000;6.382;0.15158;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;70;0.11000;6.130;0.15377;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;70;0.10000;5.853;0.15608;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;70;0.09000;5.548;0.15851;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;70;0.08000;5.207;0.16109;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;70;0.07000;4.827;0.16384;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;70;0.06000;4.397;0.16677;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;70;0.05000;3.910;0.16993;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;70;0.04000;3.351;0.17335;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;70;0.03000;2.704;0.17706;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;70;0.02000;1.950;0.18112;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;70;0.01000;1.061;0.18560;;;Modelled ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;70;0.00000;0.000;0.19057;;;Modelled ideal
